"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-02-19",,,"78","H,,S","86",",,S","66",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-02-20",,,"78","H,,S","86",",,S","67",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-02-21",,,"79","H,,S","86",",,S","67",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-02-22",,,"78","H,,S","87",",,S","71",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-02-23",,,"78","H,,S","87",",,S","68",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-02-24",,,"77","H,,S","90",",,S","68",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-02-25",,,"79","H,,S","90",",,S","70",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-02-26",,,"78","H,,S","86",",,S","70",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-02-29",,,"76","H,,S","87",",,S","67",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-03-01","0.15",",,S","76","H,,S","85",",,S","69",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-03-02","0.00",",,S","75","H,,S","84",",,S","71",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-03-03",,,"76","H,,S",,,,
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-03-04",,,"76","H,,S","84",",,S","68",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-03-05",,,"77","H,,S","85",",,S","70",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-03-06",,,"77","H,,S","85",",,S","70",",,S"
